,Date,Tweet_ID,Message,Feeling
0,2020-11-04 09:04:50,1323914087340781569,KANYE 2024 https://t.co/Zm2pKcn12t,neutral
1,2020-11-03 20:53:31,1323730046125699072,I VOTED 🇺🇸 https://t.co/hlgIJUST4x,neutral
2,2020-11-03 20:51:55,1323729643828989953,KANYE2020 🇺🇸 https://t.co/3kd8vrrHZQ,neutral
3,2020-11-03 20:50:49,1323729368594575361,🕊 https://t.co/tFqpKyQzkY,neutral
4,2020-11-03 20:42:45,1323727338387902465,The first vote of my life         We are here to serve      We pray for every servant leader in the world  🕊 https://t.co/UWSrKslCt1,positive
5,2020-11-03 20:39:36,1323726544997474304,KEEP BELIEVING KANYE 2020    Thank you Jesus Christ https://t.co/OgFDGOCAOp,neutral
6,2020-11-03 15:09:18,1323643421601378306,Favs https://t.co/0oO13dEviF,neutral
7,2020-11-03 15:01:07,1323641361216626691,We will heal. We will cure.,neutral
8,2020-11-03 15:00:09,1323641120778145792,"God is so good 😊 Today I am voting for the first time in my life for the President of the United States, and it's f… https://t.co/RDmZihHIfo",positive
9,2020-11-03 14:56:56,1323640310321176577,I channel Will Ferrel when I’m at the daddy daughter dances,neutral
10,2020-11-03 14:48:22,1323638153907900416,Life is the ultimate gift,neutral
11,2020-11-03 04:19:17,1323479840121450497,So many of us need so much less than we have especially when so many of us are in need,positive
12,2020-11-03 04:18:21,1323479605970259972,I hear people say ... this person is cool and this person is not cool... people are cool... man has never invented… https://t.co/HGvnOxW4ng,positive
13,2020-11-03 04:16:27,1323479125814771714,I was just speaking with someone that told me their life story and they used to be homeless      We must and will c… https://t.co/sjLvlpHqgS,neutral
14,2020-11-03 04:08:21,1323477087194210305,We as a people will heal. We will insure the well being of each other,negative
15,2020-11-03 04:07:48,1323476950489341953,There are people sleeping in parking lots,neutral
16,2020-11-03 04:07:04,1323476766439038976,We will cure hunger,neutral
17,2020-11-02 01:41:04,1323077633802817537,The Weekend as The Nutty Professor was hands down the best costume this Halloween ⛷ https://t.co/6he1adovRY,positive
18,2020-10-31 01:45:33,1322353987404800000,Praise God. Thank you so much #DoveAwards       God continues to send encouragement      Good is winning     Things… https://t.co/EUxCLWkcXm,positive
19,2020-10-30 23:50:01,1322324911738642432,How it’s going 🇺🇸 https://t.co/ayol8Sf0OR,neutral
20,2020-10-30 23:49:26,1322324767571992576,How the day started 🙃 https://t.co/UyQUWqd2mT,neutral
